Test num: 1, run time: 00:00:23
Test num: 2, run time: 00:00:03
Test num: 3, run time: 00:00:46
Test num: 4, run time: 00:00:47
Test num: 5, run time: 00:02:00
Test num: 6, run time: 00:00:43
Test num: 7, run time: 00:00:05
Test num: 8, run time: 00:00:04
Test num: 9, run time: 00:00:04
Test num: 10, run time: 00:02:00
Test num: 11, run time: 00:00:36
Test num: 12, run time: 00:01:02
Test num: 13, run time: 00:00:11
Test num: 14, run time: 00:02:00
Test num: 15, run time: 00:00:02
Test num: 16, run time: 00:00:19
Test num: 17, run time: 00:01:49
Test num: 18, run time: 00:00:10
Test num: 19, run time: 00:01:00
Test num: 20, run time: 00:00:59
Test num: 21, run time: 00:00:23
Test num: 22, run time: 00:01:28
Test num: 23, run time: 00:00:33
Test num: 24, run time: 00:00:03
Test num: 25, run time: 00:01:22
Test num: 26, run time: 00:00:24
Test num: 27, run time: 00:00:16
Test num: 28, run time: 00:01:53
Test num: 29, run time: 00:00:08
Test num: 30, run time: 00:02:00
